V,T
48.1300,3.2370
48.1300,3.2380
48.1300,3.2370
48.1300,3.2380
48.1300,3.2380
48.1200,3.2390
48.1200,3.2380
48.1200,3.2390
48.1200,3.2380
48.1200,3.2370
48.1100,3.2380
48.1200,3.2380
48.1200,3.2390
48.1100,3.2410
48.1100,3.2390
48.1100,3.2390
48.1100,3.2390
48.1100,3.2410
48.1100,3.2390
48.1100,3.2390
48.1100,3.2380
48.1000,3.2380
48.1000,3.2380
48.1000,3.2380
48.1000,3.2380
48.1000,3.2390
48.1000,3.2380
48.1000,3.2380
48.1000,3.2380
48.1000,3.2380
48.1000,3.2390
48.0900,3.2380
48.0900,3.2380
48.1000,3.2390
48.0900,3.2390
48.1000,3.2380
48.0900,3.2380
48.0900,3.2380
48.0900,3.2380
48.0900,3.2380
48.0900,3.2380
48.0900,3.2380
48.0900,3.2380
48.0900,3.2380
48.0800,3.2370
48.0800,3.2380
48.0800,3.2380
48.0800,3.2390
48.0800,3.2390
48.0800,3.2410
48.0800,3.2410
48.0800,3.2390
48.0800,3.2390
48.0800,3.2390
48.0800,3.2390
48.0800,3.2380
48.0700,3.2380
48.0700,3.2380
48.0700,3.2370
48.0700,3.2380
48.0700,3.2390
48.0700,3.2390
48.0700,3.2390
48.0700,3.2390
48.0600,3.2380
48.0600,3.2380
48.0600,3.2380
48.0600,3.2370
48.0600,3.2370
48.0600,3.2370
48.0600,3.2380
48.0600,3.2380
48.0600,3.2390
48.0600,3.2420
48.0500,3.2390
48.0500,3.2410
48.0500,3.2420
48.0500,3.2410
48.0500,3.2390
48.0500,3.2390
48.0500,3.2410
48.0500,3.2390
48.0400,3.2390
48.0400,3.2390
48.0500,3.2390
48.0400,3.2380
48.0400,3.2380
48.0400,3.2390
48.0400,3.2420
48.0400,3.2380
48.0300,3.2390
48.0300,3.2390
48.0400,3.2410
48.0400,3.2380
48.0300,3.2390
48.0300,3.2380
48.0300,3.2390
48.0300,3.2390
48.0300,3.2390
48.0300,3.2410
48.0300,3.2380
48.0300,3.2390
48.0200,3.2380
48.0300,3.2380
48.0300,3.2390
48.0200,3.2410
48.0200,3.2390
48.0200,3.2390
48.0200,3.2390
48.0200,3.2390
48.0200,3.2380
48.0200,3.2380
48.0200,3.2390
48.0200,3.2390
48.0100,3.2410
48.0100,3.2410
48.0100,3.2420
48.0100,3.2390
48.0100,3.2410
48.0200,3.2410
48.0100,3.2390
48.0100,3.2390
48.0100,3.2380
48.0000,3.2380
48.0100,3.2390
48.0100,3.2380
48.0000,3.2390
48.0000,3.2390
48.0000,3.2390
47.9900,3.2380
48.0000,3.2380
48.0100,3.2390
48.0000,3.2380
48.0000,3.2380
48.0000,3.2390
47.9900,3.2390
48.0000,3.2390
48.0000,3.2410
48.0000,3.2410
47.9900,3.2410
47.9900,3.2390
47.9900,3.2410
47.9900,3.2390
47.9900,3.2390
47.9800,3.2390
47.9900,3.2410
47.9800,3.2390
47.9800,3.2410
47.9800,3.2390
47.9800,3.2390
47.9800,3.2390
47.9800,3.2380
47.9800,3.2390
47.9800,3.2390
47.9800,3.2390
47.9800,3.2390
47.9700,3.2410
47.9700,3.2410
47.9700,3.2410
47.9700,3.2410
47.9700,3.2410
47.9700,3.2410
47.9700,3.2420
47.9600,3.2420
47.9600,3.2410
47.9600,3.2410
47.9600,3.2410
47.9600,3.2390
47.9600,3.2410
47.9600,3.2410
47.9600,3.2420
47.9600,3.2410
47.9600,3.2410
47.9600,3.2390
47.9500,3.2390
47.9500,3.2390
47.9500,3.2410
47.9500,3.2390
47.9500,3.2410
47.9500,3.2390
47.9400,3.2410
47.9500,3.2410
47.9400,3.2410
47.9400,3.2390
47.9400,3.2390
47.9400,3.2370
47.9400,3.2390
47.9400,3.2380
47.9400,3.2390
47.9400,3.2410
47.9400,3.2390
47.9300,3.2410
47.9300,3.2410
47.9300,3.2410
47.9300,3.2410
47.9300,3.2420
47.9300,3.2420
47.9300,3.2410
47.9300,3.2420
47.9300,3.2410
47.9300,3.2410
47.9300,3.2410
47.9300,3.2410
47.9300,3.2390
47.9200,3.2390
47.9200,3.2390
47.9200,3.2390
47.9200,3.2390
47.9200,3.2390
47.9200,3.2390
47.9200,3.2410
47.9200,3.2390
47.9200,3.2410
47.9200,3.2410
47.9100,3.2410
47.9100,3.2420
47.9100,3.2410
47.9100,3.2430
47.9100,3.2410
47.9000,3.2410
47.9100,3.2410
47.9100,3.2410
47.9100,3.2410
47.9000,3.2410
47.9100,3.2410
47.9000,3.2420
47.9000,3.2420
47.9000,3.2420
47.9000,3.2420
47.9000,3.2420
47.9000,3.2410
47.9000,3.2420
47.9000,3.2420
47.9000,3.2410
47.9000,3.2410
47.9000,3.2410
47.9000,3.2410
47.8900,3.2420
47.8900,3.2390
47.8900,3.2410
47.8900,3.2410
47.8900,3.2410
47.8900,3.2410
47.8900,3.2430
47.8900,3.2410
47.8900,3.2410
47.8800,3.2420
47.8900,3.2410
47.8900,3.2410
47.8900,3.2420
47.8900,3.2410
47.8800,3.2410
47.8800,3.2410
47.8800,3.2410
47.8800,3.2420
47.8800,3.2420
47.8800,3.2390
47.8800,3.2390
47.8700,3.2410
47.8800,3.2410
47.8700,3.2410
47.8700,3.2420
47.8700,3.2420
47.8700,3.2410
47.8700,3.2430
47.8700,3.2420
47.8700,3.2420
47.8700,3.2420
47.8700,3.2420
47.8700,3.2430
47.8600,3.2390
47.8700,3.2430
47.8600,3.2410
47.8600,3.2420
47.8600,3.2410
47.8600,3.2420
47.8600,3.2410
47.8600,3.2410
47.8600,3.2420
47.8600,3.2420
47.8500,3.2420
47.8600,3.2420
47.8600,3.2430
47.8500,3.2420
47.8500,3.2420
47.8500,3.2430
47.8500,3.2440
47.8500,3.2430
47.8500,3.2440
47.8500,3.2440
47.8500,3.2440
47.8500,3.2430
47.8400,3.2440
47.8400,3.2430
47.8400,3.2430
47.8400,3.2420
47.8400,3.2430
47.8400,3.2430
47.8400,3.2420
47.8400,3.2420
47.8300,3.2410
47.8400,3.2420
47.8400,3.2420
47.8400,3.2410
47.8400,3.2420
47.8300,3.2420
47.8400,3.2430
47.8300,3.2420
47.8300,3.2430
47.8300,3.2430
47.8300,3.2430
47.8200,3.2440
47.8200,3.2430
47.8200,3.2430
47.8200,3.2420
47.8200,3.2410
47.8200,3.2420
47.8200,3.2420
47.8200,3.2430
47.8200,3.2430
47.8100,3.2430
47.8200,3.2430
47.8200,3.2420
47.8200,3.2410
47.8100,3.2410
47.8200,3.2420
47.8100,3.2420
47.8200,3.2420
47.8200,3.2420
47.8200,3.2420
47.8100,3.2430
47.8000,3.2430
47.7900,3.2430
47.7900,3.2430
47.7900,3.2440
47.8000,3.2430
47.8000,3.2430
47.8000,3.2420
47.8000,3.2420
47.8000,3.2410
47.8000,3.2420
47.8000,3.2420
47.8000,3.2420
47.8000,3.2430
47.8000,3.2420
47.8000,3.2420
47.8000,3.2430
47.8000,3.2420
47.8000,3.2430
47.8000,3.2430
47.7900,3.2410
47.7900,3.2420
47.7900,3.2420
47.7900,3.2420
47.7900,3.2430
47.7900,3.2420
47.7900,3.2430
